episode,reward,steps,success
1,-27.0,38,1
2,-16.0,27,1
3,-16.0,27,1
4,-29.0,40,1
5,-1.0,12,1
6,-3.0,14,1
7,-7.0,18,1
8,-4.0,15,1
9,-3.0,14,1
10,-1.0,12,1
11,1.0,10,1
12,-1.0,12,1
13,3.0,8,1
14,-4.0,15,1
15,0.0,11,1
16,-2.0,13,1
17,3.0,8,1
18,2.0,9,1
19,5.0,6,1
20,0.0,11,1
21,0.0,11,1
22,2.0,9,1
23,5.0,6,1
24,4.0,7,1
25,1.0,10,1
26,-1.0,12,1
27,3.0,8,1
28,2.0,9,1
29,3.0,8,1
30,2.0,9,1
31,4.0,7,1
32,2.0,9,1
33,5.0,6,1
34,5.0,6,1
35,5.0,6,1
36,1.0,10,1
37,3.0,8,1
38,5.0,6,1
39,3.0,8,1
40,-7.0,18,1
41,4.0,7,1
42,5.0,6,1
43,3.0,8,1
44,3.0,8,1
45,5.0,6,1
46,5.0,6,1
47,5.0,6,1
48,5.0,6,1
49,3.0,8,1
50,1.0,10,1
51,3.0,8,1
52,5.0,6,1
53,5.0,6,1
54,3.0,8,1
55,2.0,9,1
56,5.0,6,1
57,5.0,6,1
58,5.0,6,1
59,4.0,7,1
60,5.0,6,1
61,-14.0,25,1
62,5.0,6,1
63,5.0,6,1
64,-1.0,12,1
65,3.0,8,1
66,5.0,6,1
67,1.0,10,1
68,3.0,8,1
69,2.0,9,1
70,5.0,6,1
71,5.0,6,1
72,5.0,6,1
73,-4.0,15,1
74,5.0,6,1
75,-1.0,12,1
76,5.0,6,1
77,3.0,8,1
78,5.0,6,1
79,2.0,9,1
80,4.0,7,1
81,3.0,8,1
82,4.0,7,1
83,1.0,10,1
84,5.0,6,1
85,5.0,6,1
86,5.0,6,1
87,3.0,8,1
88,5.0,6,1
89,-1.0,12,1
90,5.0,6,1
91,3.0,8,1
92,5.0,6,1
93,1.0,10,1
94,5.0,6,1
95,5.0,6,1
96,5.0,6,1
97,5.0,6,1
98,3.0,8,1
99,5.0,6,1
100,5.0,6,1
101,5.0,6,1
102,5.0,6,1
103,5.0,6,1
104,5.0,6,1
105,3.0,8,1
106,3.0,8,1
107,1.0,10,1
108,5.0,6,1
109,5.0,6,1
110,5.0,6,1
111,5.0,6,1
112,0.0,11,1
113,2.0,9,1
114,5.0,6,1
115,3.0,8,1
116,4.0,7,1
117,5.0,6,1
118,5.0,6,1
119,5.0,6,1
120,1.0,10,1
121,3.0,8,1
122,3.0,8,1
123,5.0,6,1
124,1.0,10,1
125,4.0,7,1
126,5.0,6,1
127,3.0,8,1
128,5.0,6,1
129,5.0,6,1
130,4.0,7,1
131,5.0,6,1
132,1.0,10,1
133,5.0,6,1
134,5.0,6,1
135,5.0,6,1
136,4.0,7,1
137,3.0,8,1
138,4.0,7,1
139,5.0,6,1
140,3.0,8,1
141,3.0,8,1
142,1.0,10,1
143,3.0,8,1
144,5.0,6,1
145,4.0,7,1
146,5.0,6,1
147,3.0,8,1
148,2.0,9,1
149,5.0,6,1
150,5.0,6,1
151,5.0,6,1
152,5.0,6,1
